"location_name","avg"
"Qatar","300000.000000000000"
"Israel","217332.000000000000"
"Puerto Rico","167500.000000000000"
"Estados Unidos de Norteamerica","157355.461530309453"
"New Zeland","151634.333333333333"
"Canada","143999.270676691729"
"Saudi Arabia","134999.000000000000"
"Australia","127624.766666666667"
"Ukraine","121333.333333333333"
"Bosnia & Hersegovina","120000.000000000000"
"Japon","110821.625000000000"
"Egypt","109366.666666666667"
"Ireland","107633.900000000000"
"United Kindom","100275.804305283757"
"Iraq","100000.000000000000"
"Mauritius","100000.000000000000"
"Algeria","100000.000000000000"
"China","100000.000000000000"
"United Arab Emirates","100000.000000000000"
"Iran","100000.000000000000"
"Sweden","98791.333333333333"
"Lithuania","97611.000000000000"
"Mexico","94864.636363636364"
"Germany","91963.896103896104"
"Switzerland","88769.833333333333"
"Norway","88462.000000000000"
"France","80337.760000000000"
"Gibraltar","79976.000000000000"
"Colombia","79115.250000000000"
"Rusia","78207.857142857143"
"Netherlands","76968.904761904762"
"Belgium","76864.750000000000"
"Croatia","76726.000000000000"
"Austria","71354.833333333333"
"Czech Republic","69478.666666666667"
"Finland","68519.333333333333"
"Hong Kong","65058.000000000000"
"Kenya","65000.000000000000"
"Vietnam","63000.000000000000"
"South Africa","62935.400000000000"
"Singapore","62783.000000000000"
"Poland","62139.000000000000"
"Argentina","62000.000000000000"
"Nigeria","60444.444444444444"
"Latvia","58626.333333333333"
"Brazil","58569.117647058824"
"Philiphines","57670.000000000000"
"Slovenia","56186.333333333333"
"Spain","55825.358974358974"
"Greece","52260.857142857143"
"Portugal","51512.807692307692"
"Romania","50950.666666666667"
"Andorra","50745.000000000000"
"Armenia","50000.000000000000"
"Italy","49997.076923076923"
"Denmark","49402.600000000000"
"Central African Republic","49216.000000000000"
"Luxemburgo","47609.333333333333"
"Republic of Korea","47000.000000000000"
"Estonia","46706.100000000000"
"Bahamas","45555.000000000000"
"India","41973.285714285714"
"Chile","40038.000000000000"
"Malaysia","40000.000000000000"
"Indonesia","34208.000000000000"
"American Samoa","34026.500000000000"
"Hungary","32139.666666666667"
"Pakistan","30000.000000000000"
"Malta","28369.000000000000"
"Ghana","27000.000000000000"
"Thaland","22971.333333333333"
"Turkey","22313.600000000000"
"Honduras","20000.000000000000"
"Moldova","18000.0000000000000000"
"Ecuador","16000.0000000000000000"
