"country","highest_salary"
"Andorra","$50,745.00"
"Argentina","$80,000.00"
"Armenia","$50,000.00"
"Australia","$300,000.00"
"Bosnia & Hersegovina","$120,000.00"
"Brazil","$115,000.00"
"Canada","$306,400.00"
"Central African Republic","$55,368.00"
"Colombia","$131,000.00"
"Croatia","$110,736.00"
"Czech Republic","$107,968.00"
"Denmark","$64,781.00"
"Ecuador","$16,000.00"
"Estados Unidos de Norteamerica","$750,000.00"
"Estonia","$63,701.00"
"Finland","$74,883.00"
"France","$225,000.00"
"Germany","$275,000.00"
"Ghana","$36,000.00"
"Gibraltar","$79,976.00"
"Greece","$19,434.00"
"Hong Kong","$65,058.00"
"Hungary","$43,000.00"
"India","$172,700.00"
"Ireland","$171,250.00"
"Israel","$417,937.00"
"Italy","$75,577.00"
"Japon","$160,000.00"
"Kenya","$80,000.00"
"Latvia","$78,125.00"
"Lithuania","$121,788.00"
"Luxemburgo","$21,000.00"
"Mexico","$150,000.00"
"Netherlands","$134,960.00"
"New Zeland","$205,670.00"
"Nigeria","$50,000.00"
"Norway","$100,416.00"
"Philiphines","$95,000.00"
"Poland","$110,000.00"
"Portugal","$105,000.00"
"Qatar","$300,000.00"
"Republic of Korea","$54,000.00"
"Romania","$53,984.00"
"Rusia","$57,000.00"
"Saudi Arabia","$179,998.00"
"Singapore","$74,883.00"
"Slovenia","$75,577.00"
"South Africa","$124,935.00"
"Spain","$253,750.00"
"Sweden","$130,000.00"
"Switzerland","$122,638.00"
"Thaland","$29,301.00"
"Turkey","$20,000.00"
"Ukraine","$240,000.00"
"United Kindom","$430,640.00"
"Vietnam","$84,000.00"
