,Country,highest_salary,lowest_salary,Median_salary,Rank,Average Yearly Net Salary*
2,Andorra,50745,50745,50745,,
3,Argentina,80000,48000,64000,84,4955.88
4,Armenia,50000,50000,50000,65,6647.28
5,Australia,300000,42030,171015,9,41916.12
12,Bosnia & Hersegovina,120000,120000,120000,58,7908.84
14,Brazil,115000,19910,67455,81,5025.6
16,Canada,306400,40747,173573.5,12,36946.68
17,Central African Republic,55368,43064,49216,N/A,N/A
20,Colombia,131000,48000,89500,91,3733.56
22,Croatia,110736,73824,92280,44,12746.16
24,Czech Republic,107968,107968,107968,32,19697.04
25,Denmark,64781,64781,64781,7,42351.84
27,Ecuador,16000,16000,16000,68,6135.6
29,Estados Unidos de Norteamerica,750000,20000,385000,4,50790.96
30,Estonia,63701,33686,48693.5,36,17221.08
32,Finland,74883,67635,71259,18,34021.92
33,France,225000,32390,128695,23,30366.48
35,Germany,275000,26992,150996,13,36275.64
36,Ghana,36000,36000,36000,101,2182.92
37,Gibraltar,79976,79976,79976,N/A,N/A
38,Greece,19434,19434,19434,48,10912.92
41,Hong Kong,65058,65058,65058,19,33934.68
43,Hungary,43000,43000,43000,47,11369.64
45,India,172700,15809,94254.5,64,6822.96
49,Ireland,171250,75577,123413.5,15,35797.8
50,Israel,417937,115000,266468.5,24,30121.32
51,Italy,75577,25912,50744.5,31,20615.64
54,Japan,160000,160000,160000,25,30032.28
57,Kenya,80000,50000,65000,87,4619.88
60,Latvia,78125,38868,58496.5,45,12589.68
63,Lithuania,121788,79032,100410,39,14327.64
65,Luxemburgo,21000,21000,21000,N/A,N/A
69,Mexico,150000,36000,93000,55,8448
74,Netherlands,134960,25000,79980,10,41854.92
76,New Zeland,205670,124233,164951.5,16,35793.12
77,Nigeria,50000,18000,34000,104,1927.56
79,Norway,100416,76508,88462,11,40500.48
84,Philiphines,95000,15680,55340,93,3668.04
86,Poland,110000,34924,72462,40,13525.92
87,Portugal,105000,21593,63296.5,41,13185.48
89,Qatar,300000,300000,300000,6,47245.56
90,Republic of Korea,54000,40000,47000,26,27570.96
91,Romania,53984,38868,46426,52,9436.56
92,Rusia,57000,17000,37000,63,6910.8
94,Saudi Arabia,179998,90000,134999,28,24019.08
96,Singapore,74883,17511,46197,3,60718.32
98,Slovenia,75577,38868,57222.5,37,16207.8
99,South Africa,124935,34482,79708.5,38,14860.56
101,Spain,253750,21593,137671.5,29,22821.84
103,Sweden,130000,80000,105000,20,32645.28
104,Switzerland,122638,24322,73480,1,73412.4
107,Thailand,29301,24613,26957,66,6515.64
110,Turkey,20000,18381,19190.5,82,4998.36
111,Ukraine,240000,50000,145000,86,4646.28
113,United Kingdom,430640,28299,229469.5,17,34767.12
119,Vietnam,84000,48000,66000,76,5493.96
