,Country,highest_salary,lowest_salary,Median_salary
0,Norway,100416.0,76508.0,88462.0
1,Portugal,105000.0,21593.0,63296.5
2,Czech Republic,107968.0,107968.0,107968.0
3,Poland,110000.0,34924.0,72462.0
4,Croatia,110736.0,73824.0,92280.0
5,Brazil,115000.0,19910.0,67455.0
6,Bosnia & Hersegovina,120000.0,120000.0,120000.0
7,Lithuania,121788.0,79032.0,100410.0
8,Switzerland,122638.0,24322.0,73480.0
9,South Africa,124935.0,34482.0,79708.5
10,Sweden,130000.0,80000.0,105000.0
11,Colombia,131000.0,48000.0,89500.0
12,Netherlands,134960.0,25000.0,79980.0
13,Mexico,150000.0,36000.0,93000.0
14,Ecuador,16000.0,16000.0,16000.0
15,Japon,160000.0,160000.0,160000.0
16,Ireland,171250.0,75577.0,123413.5
17,India,172700.0,15809.0,94254.5
18,Saudi Arabia,179998.0,90000.0,134999.0
19,Greece,19434.0,19434.0,19434.0
20,Turkey,20000.0,18381.0,19190.5
21,New Zeland,205670.0,124233.0,164951.5
22,Luxemburgo,21000.0,21000.0,21000.0
23,France,225000.0,32390.0,128695.0
24,Ukraine,240000.0,50000.0,145000.0
25,Spain,253750.0,21593.0,137671.5
26,Germany,275000.0,26992.0,150996.0
27,Thaland,29301.0,24613.0,26957.0
28,Australia,300000.0,42030.0,171015.0
29,Qatar,300000.0,300000.0,300000.0
30,Canada,306400.0,40747.0,173573.5
31,Ghana,36000.0,36000.0,36000.0
32,Israel,417937.0,115000.0,266468.5
33,Hungary,43000.0,43000.0,43000.0
34,United Kindom,430640.0,28299.0,229469.5
35,Armenia,50000.0,50000.0,50000.0
36,Nigeria,50000.0,18000.0,34000.0
37,Andorra,50745.0,50745.0,50745.0
38,Romania,53984.0,38868.0,46426.0
39,Republic of Korea,54000.0,40000.0,47000.0
40,Central African Republic,55368.0,43064.0,49216.0
41,Rusia,57000.0,17000.0,37000.0
42,Estonia,63701.0,33686.0,48693.5
43,Denmark,64781.0,64781.0,64781.0
44,Hong Kong,65058.0,65058.0,65058.0
45,Singapore,74883.0,17511.0,46197.0
46,Finland,74883.0,67635.0,71259.0
47,Slovenia,75577.0,38868.0,57222.5
48,Italy,75577.0,25912.0,50744.5
49,Estados Unidos de Norteamerica,750000.0,20000.0,385000.0
50,Latvia,78125.0,38868.0,58496.5
51,Gibraltar,79976.0,79976.0,79976.0
52,Kenya,80000.0,50000.0,65000.0
53,Argentina,80000.0,48000.0,64000.0
54,Vietnam,84000.0,48000.0,66000.0
55,Philiphines,95000.0,15680.0,55340.0
