"work_year","location_name","max_wage","min_wage"
2023,"Estados Unidos de Norteamerica","$750,000.00",0
2023,"United Kindom","$430,640.00",0
2023,"Israel","$417,937.00",0
2023,"Canada","$306,400.00",0
2023,"Qatar","$300,000.00",0
2023,"Australia","$300,000.00",0
2023,"Germany","$275,000.00",0
2023,"Spain","$253,750.00",0
2023,"Ukraine","$240,000.00",0
2023,"France","$225,000.00",0
2023,"New Zeland","$205,670.00",0
2023,"Saudi Arabia","$179,998.00",0
2023,"India","$172,700.00",0
2023,"Ireland","$171,250.00",0
2023,"Japon","$160,000.00",0
2023,"Mexico","$150,000.00",0
2023,"Netherlands","$134,960.00",0
2023,"Colombia","$131,000.00",0
2023,"Sweden","$130,000.00",0
2023,"South Africa","$124,935.00",0
2023,"Switzerland","$122,638.00",0
2023,"Lithuania","$121,788.00",0
2023,"Bosnia & Hersegovina","$120,000.00",0
2023,"Brazil","$115,000.00",0
2023,"Croatia","$110,736.00",0
2023,"Poland","$110,000.00",0
2023,"Czech Republic","$107,968.00",0
2023,"Portugal","$105,000.00",0
2023,"Norway","$100,416.00",0
2023,"Philiphines","$95,000.00",0
2023,"Vietnam","$84,000.00",0
2023,"Kenya","$80,000.00",0
2023,"Argentina","$80,000.00",0
2023,"Gibraltar","$79,976.00",0
2023,"Latvia","$78,125.00",0
2023,"Italy","$75,577.00",0
2023,"Slovenia","$75,577.00",0
2023,"Finland","$74,883.00",0
2023,"Singapore","$74,883.00",0
2023,"Hong Kong","$65,058.00",0
2023,"Denmark","$64,781.00",0
2023,"Estonia","$63,701.00",0
2023,"Rusia","$57,000.00",0
2023,"Central African Republic","$55,368.00",0
2023,"Republic of Korea","$54,000.00",0
2023,"Romania","$53,984.00",0
2023,"Andorra","$50,745.00",0
2023,"Nigeria","$50,000.00",0
2023,"Armenia","$50,000.00",0
2023,"Hungary","$43,000.00",0
2023,"Ghana","$36,000.00",0
2023,"Thaland","$29,301.00",0
2023,"Luxemburgo","$21,000.00",0
2023,"Turkey","$20,000.00",0
2023,"Greece","$19,434.00",0
2023,"Ecuador","$16,000.00",0
