,Rank,Country,Average Yearly Net Salary*
1,1,Switzerland,73412.4
2,2,Luxembourg,63817.8
3,3,Singapore,60718.32
4,4,United States,50790.96
5,5,Iceland,49440.12
6,6,Qatar,47245.56
7,7,Denmark,42351.84
8,8,United Arab Emirates,42027.48
9,9,Australia,41916.12
10,10,Netherlands,41854.92
11,11,Norway,40500.48
12,12,Canada,36946.68
13,13,Germany,36275.64
14,14,Guernsey,36132.12
15,15,Ireland,35797.8
16,16,New Zealand,35793.12
17,17,United Kingdom,34767.12
18,18,Finland,34021.92
19,19,Hong Kong (China),33934.68
20,20,Sweden,32645.28
21,21,Austria,32260.2
22,22,Belgium,31782.12
23,23,France,30366.48
24,24,Israel,30121.32
25,25,Japan,30032.28
26,26,South Korea,27570.96
27,27,Kuwait,24311.4
28,28,Saudi Arabia,24019.08
29,29,Spain,22821.84
30,30,Puerto Rico,21456.0
31,31,Italy,20615.64
32,32,Czech Republic,19697.04
33,33,Taiwan (China),18257.4
34,34,Cyprus,17621.64
35,35,Malta,17338.8
36,36,Estonia,17221.08
37,37,Slovenia,16207.8
38,38,South Africa,14860.56
39,39,Lithuania,14327.64
40,40,Poland,13525.92
41,41,Portugal,13185.48
42,42,Slovakia,12912.24
43,43,China,12821.28
44,44,Croatia,12746.16
45,45,Latvia,12589.68
46,46,Uruguay,11662.8
47,47,Hungary,11369.64
48,48,Greece,10912.92
49,49,Malaysia,10598.76
50,50,Costa Rica,10286.16
51,51,Bulgaria,9727.56
52,52,Romania,9436.56
53,53,Trinidad And Tobago,9418.92
54,54,Panama,8928.72
55,55,Mexico,8448.0
56,56,Montenegro,8443.2
57,57,Chile,8214.48
58,58,Bosnia And Herzegovina,7908.84
59,59,Palestine,7597.44
60,60,Jordan,7428.84
61,61,Jamaica,7390.44
62,62,Serbia,7262.16
63,63,Russia,6910.8
64,64,India,6822.96
65,65,Armenia,6647.28
66,66,Thailand,6515.64
67,67,Iraq,6455.4
68,68,Ecuador,6135.6
69,69,Lebanon,6033.0
70,70,Mauritius,6014.64
71,71,Belarus,5993.64
72,72,Georgia,5884.32
73,73,Kazakhstan,5855.28
74,74,Guatemala,5722.68
75,75,North Macedonia,5509.92
76,76,Vietnam,5493.96
77,77,Albania,5407.92
78,78,Bolivia,5230.2
79,79,Moldova,5203.56
80,80,Kosovo (Disputed Territory),5156.76
81,81,Brazil,5025.6
82,82,Turkey,4998.36
83,83,Peru,4963.2
84,84,Argentina,4955.88
85,85,Morocco,4726.32
86,86,Ukraine,4646.28
87,87,Kenya,4619.88
88,88,Dominican Republic,4593.72
89,89,Azerbaijan,4407.72
90,90,Indonesia,4079.76
91,91,Colombia,3733.56
92,92,Iran,3683.88
93,93,Philippines,3668.04
94,94,Uzbekistan,3651.24
95,95,Tunisia,3637.2
96,96,Libya,3300.24
97,97,Algeria,3205.32
98,98,Bangladesh,3018.48
99,99,Ethiopia,2516.76
100,100,Nepal,2372.76
101,101,Ghana,2182.92
102,102,Venezuela,2118.36
103,103,Sri Lanka,2084.04
104,104,Nigeria,1927.56
105,105,Egypt,1653.36
106,106,Pakistan,1591.8
