id_employee,job_title, salary ,id_currency, salary_in_usd ,id_work_year,id_experience_level,id_remote_ratio,id_company
1,ML Engineer,"357,900.00",1,"357,900.00",5,1,1,1
2,ML Engineer,"189,400.00",1,"189,400.00",5,1,1,1
3,Data Scientist,"212,000.00",1,"212,000.00",5,1,1,1
4,Data Scientist,"93,400.00",1,"93,400.00",5,1,1,1
5,Data Engineer,"128,656.00",1,"128,656.00",5,1,1,1
6,Data Engineer,"103,330.00",1,"103,330.00",5,1,1,1
7,Machine Learning Engineer,"250,900.00",1,"250,900.00",5,1,1,1
8,Machine Learning Engineer,"135,200.00",1,"135,200.00",5,1,1,1
9,Applied Scientist,"414,000.00",1,"414,000.00",5,1,1,1
10,Applied Scientist,"216,000.00",1,"216,000.00",5,1,1,1
11,Data Specialist,"69,000.00",1,"69,000.00",5,2,1,1
12,Data Specialist,"51,000.00",1,"51,000.00",5,2,1,1
13,Data Analyst,"109,000.00",1,"109,000.00",5,1,1,1
14,Data Analyst,"62,300.00",1,"62,300.00",5,1,1,1
15,Analytics Engineer,"134,160.00",1,"134,160.00",5,2,1,1
16,Analytics Engineer,"72,240.00",1,"72,240.00",5,2,1,1
17,Data Analyst,"90,500.00",1,"90,500.00",5,2,1,1
18,Data Analyst,"42,400.00",1,"42,400.00",5,2,1,1
19,Data Architect,"381,500.00",1,"381,500.00",5,1,1,1
20,Data Architect,"202,500.00",1,"202,500.00",5,1,1,1
21,Machine Learning Engineer,"257,000.00",1,"257,000.00",5,1,1,1
22,Machine Learning Engineer,"129,000.00",1,"129,000.00",5,1,1,1
23,Data Analyst,"120,000.00",1,"120,000.00",5,3,3,1
24,Data Analyst,"100,000.00",1,"100,000.00",5,3,3,1
25,Analytics Engineer,"209,990.00",1,"209,990.00",5,1,1,2
26,Analytics Engineer,"140,000.00",1,"140,000.00",5,1,1,2
27,Data Analyst,"80,000.00",1,"80,000.00",5,3,1,1
28,Data Analyst,"45,700.00",1,"45,700.00",5,3,1,1
29,Data Science,"138,000.00",1,"138,000.00",5,1,1,1
30,Data Science,"86,000.00",1,"86,000.00",5,1,1,1
31,Data Science,"152,000.00",1,"152,000.00",5,1,1,1
32,Data Science,"133,200.00",1,"133,200.00",5,1,1,1
