id_company,id_employment_type,id_company_location,id_company_size
1,3,1,2
2,3,2,2
3,3,1,1
4,4,3,2
5,3,4,2
6,3,5,2
7,3,6,2
8,3,7,2
9,3,8,2
10,3,3,1
11,3,9,2
12,3,3,2
13,3,10,2
14,3,11,2
15,3,12,1
16,3,5,1
17,3,13,2
18,3,14,2
19,3,15,3
20,3,16,2
21,3,8,1
22,3,17,2
23,3,6,3
24,3,18,2
25,4,1,2
26,3,1,3
27,1,2,1
28,3,13,1
29,3,20,1
30,2,85,3
31,3,20,2
32,3,23,2
33,3,6,1
34,3,7,1
35,3,87,1
36,3,10,1
37,3,25,2
38,3,22,2
39,3,27,2
40,3,5,3
41,3,28,2
42,3,29,1
43,3,2,3
44,3,30,2
45,3,31,3
46,3,17,1
47,3,40,1
48,3,26,3
49,3,35,3
50,3,36,2
51,3,26,1
52,3,19,1
53,3,45,1
54,3,38,1
55,3,2,1
56,3,38,2
57,1,1,2
58,3,39,2
59,1,20,1
60,3,26,2
61,3,40,2
62,3,41,3
63,3,73,1
64,3,43,2
65,3,63,1
66,3,16,1
67,3,37,1
68,3,45,3
69,3,46,3
70,3,47,1
71,3,7,3
72,3,49,3
73,3,60,3
74,3,37,3
75,3,51,2
76,1,1,3
77,3,52,3
78,2,43,3
79,3,53,2
80,3,51,3
81,2,15,2
82,3,56,1
83,1,15,2
84,3,15,2
85,3,9,1
86,3,15,1
87,3,57,1
88,3,3,3
89,3,58,2
90,3,18,3
91,3,59,2
92,2,22,3
93,3,60,1
94,3,62,1
95,3,63,2
96,3,49,2
97,2,10,2
98,4,1,3
99,3,18,1
100,3,34,2
101,3,43,3
102,3,33,2
103,4,5,1
104,3,63,3
105,3,36,1
106,3,32,3
107,3,66,3
108,3,62,2
109,3,28,1
110,3,34,1
111,4,1,1
112,3,21,2
113,3,17,3
114,3,25,1
115,2,1,3
116,2,67,2
117,2,88,2
118,3,12,2
119,3,61,1
120,3,49,1
121,3,72,2
122,3,59,3
123,3,68,1
124,3,29,2
125,4,73,1
126,3,16,3
127,3,20,3
128,4,18,2
129,3,53,1
130,3,44,1
131,3,76,1
132,3,61,2
133,3,44,3
134,2,5,3
135,3,37,2
136,3,77,3
137,4,3,1
138,3,8,3
139,3,29,3
140,3,27,1
141,3,78,1
142,3,36,3
143,3,79,3
144,1,19,2
145,3,56,3
146,3,10,3
147,2,1,2
148,4,80,2
149,3,81,3
150,3,44,2
151,1,1,1
152,3,13,3
153,4,3,3
154,3,77,1
155,4,20,1
156,3,69,1
157,3,11,3
158,3,71,1
159,4,73,3
160,2,1,1
161,3,73,3
162,4,26,3
163,3,50,3
164,3,85,1
165,3,68,3
166,3,61,3
167,3,85,3
168,3,33,3
169,3,60,2
170,3,86,1
