id_employee,job_title,id_work_year,id_experience_level,id_employment_type,id_emloyee_residence,id_remote_ratio,id_company_location,id_company_size
1,ML Engineer,5,1,3,1,1,1,2
2,ML Engineer,5,1,3,1,1,1,2
3,Data Scientist,5,1,3,1,1,1,2
4,Data Scientist,5,1,3,1,1,1,2
5,Data Engineer,5,1,3,1,1,1,2
6,Data Engineer,5,1,3,1,1,1,2
7,Machine Learning Engineer,5,1,3,1,1,1,2
8,Machine Learning Engineer,5,1,3,1,1,1,2
9,Applied Scientist,5,1,3,1,1,1,2
10,Applied Scientist,5,1,3,1,1,1,2
11,Data Specialist,5,2,3,1,1,1,2
12,Data Specialist,5,2,3,1,1,1,2
13,Data Analyst,5,1,3,1,1,1,2
14,Data Analyst,5,1,3,1,1,1,2
15,Analytics Engineer,5,2,3,1,1,1,2
16,Analytics Engineer,5,2,3,1,1,1,2
17,Data Analyst,5,2,3,1,1,1,2
18,Data Analyst,5,2,3,1,1,1,2
19,Data Architect,5,1,3,1,1,1,2
20,Data Architect,5,1,3,1,1,1,2
21,Machine Learning Engineer,5,1,3,1,1,1,2
22,Machine Learning Engineer,5,1,3,1,1,1,2
23,Data Analyst,5,3,3,1,3,1,2
24,Data Analyst,5,3,3,1,3,1,2
25,Analytics Engineer,5,1,3,2,1,2,2
26,Analytics Engineer,5,1,3,2,1,2,2
27,Data Analyst,5,3,3,1,1,1,2
28,Data Analyst,5,3,3,1,1,1,2
29,Data Science,5,1,3,1,1,1,2
30,Data Science,5,1,3,1,1,1,2
31,Data Science,5,1,3,1,1,1,2
32,Data Science,5,1,3,1,1,1,2
33,Data Analyst,5,1,3,1,1,1,2
34,Data Analyst,5,1,3,1,1,1,2
35,Data Engineer,5,1,3,1,1,1,2
36,Data Engineer,5,1,3,1,1,1,2
37,Data Developer,5,2,3,1,1,1,2
38,Data Developer,5,2,3,1,1,1,2
39,Data Analyst,5,1,3,1,3,1,2
40,Data Analyst,5,1,3,1,3,1,2
41,Research Scientist,5,2,3,1,1,1,2
42,Research Scientist,5,2,3,1,1,1,2
43,Data Architect,5,1,3,1,1,1,2
44,Data Architect,5,1,3,1,1,1,2
45,Data Analyst,5,3,3,1,3,1,2
46,Data Analyst,5,3,3,1,3,1,2
47,Data Engineer,5,2,3,1,1,1,2
48,Data Engineer,5,2,3,1,1,1,2
49,ML Engineer,5,1,3,1,1,1,2
50,ML Engineer,5,1,3,1,1,1,2
51,Data Analyst,5,3,3,1,3,1,2
52,Data Analyst,5,3,3,1,3,1,2
53,Machine Learning Engineer,5,1,3,2,3,2,2
54,Machine Learning Engineer,5,1,3,2,3,2,2
55,Research Scientist,5,1,3,1,1,1,2
56,Research Scientist,5,1,3,1,1,1,2
57,Data Engineer,5,1,3,1,1,1,2
58,Data Engineer,5,1,3,1,1,1,2
59,Data Analyst,5,3,3,1,1,1,2
60,Data Analyst,5,3,3,1,1,1,2
61,Applied Scientist,5,2,3,1,1,1,1
62,Applied Scientist,5,2,3,1,1,1,1
63,Research Scientist,5,1,3,1,1,1,2
64,Research Scientist,5,1,3,1,1,1,2
65,Data Engineer,5,2,3,1,1,1,2
66,Data Engineer,5,2,3,1,1,1,2
67,Data Analyst,5,3,3,1,1,1,2
68,Data Analyst,5,3,3,1,1,1,2
69,Data Science,5,3,4,3,2,3,2
70,Data Engineer,5,2,3,1,1,1,2
71,Data Engineer,5,2,3,1,1,1,2
72,Data Scientist,5,2,3,1,1,1,2
73,Data Scientist,5,2,3,1,1,1,2
74,Research Scientist,5,1,3,1,1,1,2
75,Research Scientist,5,1,3,1,1,1,2
76,Machine Learning Engineer,5,1,3,1,1,1,2
77,Machine Learning Engineer,5,1,3,1,1,1,2
78,Data Scientist,5,1,3,1,1,1,2
79,Data Scientist,5,1,3,1,1,1,2
80,Machine Learning Engineer,5,1,3,4,1,4,2
81,Machine Learning Engineer,5,1,3,4,1,4,2
82,Data Engineer,5,1,3,1,1,1,2
83,Data Engineer,5,1,3,1,1,1,2
84,Data Engineer,5,2,3,1,1,1,2
85,Data Engineer,5,2,3,1,1,1,2
86,Research Scientist,5,1,3,1,1,1,2
87,Research Scientist,5,1,3,1,1,1,2
88,Data Analyst,5,3,3,1,1,1,2
89,Data Analyst,5,3,3,1,1,1,2
90,Data Modeler,5,1,3,2,1,2,2
91,Data Modeler,5,1,3,2,1,2,2
92,Data Scientist,5,2,3,2,1,2,2
93,Data Scientist,5,2,3,2,1,2,2
94,Research Engineer,5,1,3,1,1,1,2
95,Research Engineer,5,1,3,1,1,1,2
96,Data Architect,5,1,3,1,1,1,2
97,Data Architect,5,1,3,1,1,1,2
98,BI Developer,5,1,3,5,3,5,2
99,BI Developer,5,1,3,5,3,5,2
100,Data Engineer,5,1,3,1,1,1,2
101,Data Engineer,5,1,3,1,1,1,2
102,Data Engineer,5,3,3,6,1,6,2
103,Data Engineer,5,3,3,6,1,6,2
104,Data Engineer,5,4,3,1,1,1,2
105,Data Engineer,5,4,3,1,1,1,2
106,Machine Learning Engineer,5,1,3,1,3,1,2
107,Machine Learning Engineer,5,1,3,1,3,1,2
108,Business Intelligence Analyst,5,3,3,6,1,6,2
109,Business Intelligence Analyst,5,3,3,6,1,6,2
110,Data Analyst,5,3,3,1,1,1,2
111,Data Analyst,5,3,3,1,1,1,2
112,Machine Learning Engineer,5,2,3,1,1,1,2
113,Machine Learning Engineer,5,2,3,1,1,1,2
114,Data Modeler,5,1,3,1,3,1,2
115,Data Modeler,5,1,3,1,3,1,2
116,Data Engineer,5,2,3,1,1,1,2
117,Data Engineer,5,2,3,1,1,1,2
118,Research Scientist,5,2,3,1,1,1,2
119,Research Scientist,5,2,3,1,1,1,2
120,Machine Learning Engineer,5,1,3,1,3,1,2
121,Machine Learning Engineer,5,1,3,1,3,1,2
122,Data Analyst,5,2,3,2,1,2,2
123,Data Analyst,5,2,3,2,1,2,2
124,Data Scientist,5,2,3,1,1,1,2
125,Data Scientist,5,2,3,1,1,1,2
126,Research Scientist,5,1,3,1,1,1,2
127,Research Scientist,5,1,3,1,1,1,2
128,Data Scientist,5,1,3,2,1,2,2
129,Data Scientist,5,1,3,2,1,2,2
130,Data Engineer,5,1,3,1,3,1,2
131,Data Engineer,5,1,3,1,3,1,2
132,Data Developer,5,1,3,1,3,1,2
133,Data Developer,5,1,3,1,3,1,2
134,Analytics Engineer,5,1,3,1,3,1,2
135,Analytics Engineer,5,1,3,1,3,1,2
136,Data Scientist,5,2,3,1,1,1,2
137,Data Scientist,5,2,3,1,1,1,2
