id_employee_salary,job_title, salary ,salary_currency, salary_in_usd ,id_work_year,id_experience_level,id_employment_type,id_emloyee_residence,id_remote_ratio,id_company_location,id_company_size
1,ML Engineer," 357,900.00 ",USD," 357,900.00 ",5,1,3,1,1,1,2
2,ML Engineer," 189,400.00 ",USD," 189,400.00 ",5,1,3,1,1,1,2
3,Data Scientist," 212,000.00 ",USD," 212,000.00 ",5,1,3,1,1,1,2
4,Data Scientist," 93,400.00 ",USD," 93,400.00 ",5,1,3,1,1,1,2
5,Data Engineer," 128,656.00 ",USD," 128,656.00 ",5,1,3,1,1,1,2
6,Data Engineer," 103,330.00 ",USD," 103,330.00 ",5,1,3,1,1,1,2
7,Machine Learning Engineer," 250,900.00 ",USD," 250,900.00 ",5,1,3,1,1,1,2
8,Machine Learning Engineer," 135,200.00 ",USD," 135,200.00 ",5,1,3,1,1,1,2
9,Applied Scientist," 414,000.00 ",USD," 414,000.00 ",5,1,3,1,1,1,2
10,Applied Scientist," 216,000.00 ",USD," 216,000.00 ",5,1,3,1,1,1,2
11,Data Specialist," 69,000.00 ",USD," 69,000.00 ",5,2,3,1,1,1,2
12,Data Specialist," 51,000.00 ",USD," 51,000.00 ",5,2,3,1,1,1,2
13,Data Analyst," 109,000.00 ",USD," 109,000.00 ",5,1,3,1,1,1,2
14,Data Analyst," 62,300.00 ",USD," 62,300.00 ",5,1,3,1,1,1,2
15,Analytics Engineer," 134,160.00 ",USD," 134,160.00 ",5,2,3,1,1,1,2
16,Analytics Engineer," 72,240.00 ",USD," 72,240.00 ",5,2,3,1,1,1,2
17,Data Analyst," 90,500.00 ",USD," 90,500.00 ",5,2,3,1,1,1,2
18,Data Analyst," 42,400.00 ",USD," 42,400.00 ",5,2,3,1,1,1,2
19,Data Architect," 381,500.00 ",USD," 381,500.00 ",5,1,3,1,1,1,2
20,Data Architect," 202,500.00 ",USD," 202,500.00 ",5,1,3,1,1,1,2
21,Machine Learning Engineer," 257,000.00 ",USD," 257,000.00 ",5,1,3,1,1,1,2
22,Machine Learning Engineer," 129,000.00 ",USD," 129,000.00 ",5,1,3,1,1,1,2
23,Data Analyst," 120,000.00 ",USD," 120,000.00 ",5,3,3,1,3,1,2
24,Data Analyst," 100,000.00 ",USD," 100,000.00 ",5,3,3,1,3,1,2
25,Analytics Engineer," 209,990.00 ",USD," 209,990.00 ",5,1,3,2,1,2,2
26,Analytics Engineer," 140,000.00 ",USD," 140,000.00 ",5,1,3,2,1,2,2
27,Data Analyst," 80,000.00 ",USD," 80,000.00 ",5,3,3,1,1,1,2
28,Data Analyst," 45,700.00 ",USD," 45,700.00 ",5,3,3,1,1,1,2
29,Data Science," 138,000.00 ",USD," 138,000.00 ",5,1,3,1,1,1,2
30,Data Science," 86,000.00 ",USD," 86,000.00 ",5,1,3,1,1,1,2
31,Data Science," 152,000.00 ",USD," 152,000.00 ",5,1,3,1,1,1,2
32,Data Science," 133,200.00 ",USD," 133,200.00 ",5,1,3,1,1,1,2
33,Data Analyst," 135,000.00 ",USD," 135,000.00 ",5,1,3,1,1,1,2
34,Data Analyst," 120,000.00 ",USD," 120,000.00 ",5,1,3,1,1,1,2
35,Data Engineer," 175,000.00 ",USD," 175,000.00 ",5,1,3,1,1,1,2
36,Data Engineer," 150,000.00 ",USD," 150,000.00 ",5,1,3,1,1,1,2
37,Data Developer," 100,000.00 ",USD," 100,000.00 ",5,2,3,1,1,1,2
38,Data Developer," 95,000.00 ",USD," 95,000.00 ",5,2,3,1,1,1,2
39,Data Analyst," 134,200.00 ",USD," 134,200.00 ",5,1,3,1,3,1,2
40,Data Analyst," 117,000.00 ",USD," 117,000.00 ",5,1,3,1,3,1,2
41,Research Scientist," 179,000.00 ",USD," 179,000.00 ",5,2,3,1,1,1,2
42,Research Scientist," 112,000.00 ",USD," 112,000.00 ",5,2,3,1,1,1,2
43,Data Architect," 234,000.00 ",USD," 234,000.00 ",5,1,3,1,1,1,2
44,Data Architect," 146,000.00 ",USD," 146,000.00 ",5,1,3,1,1,1,2
45,Data Analyst," 75,065.00 ",USD," 75,065.00 ",5,3,3,1,3,1,2
46,Data Analyst," 41,419.00 ",USD," 41,419.00 ",5,3,3,1,3,1,2
47,Data Engineer," 107,800.00 ",USD," 107,800.00 ",5,2,3,1,1,1,2
48,Data Engineer," 61,600.00 ",USD," 61,600.00 ",5,2,3,1,1,1,2
49,ML Engineer," 324,000.00 ",USD," 324,000.00 ",5,1,3,1,1,1,2
50,ML Engineer," 159,000.00 ",USD," 159,000.00 ",5,1,3,1,1,1,2
51,Data Analyst," 80,000.00 ",USD," 80,000.00 ",5,3,3,1,3,1,2
52,Data Analyst," 75,000.00 ",USD," 75,000.00 ",5,3,3,1,3,1,2
53,Machine Learning Engineer," 303,400.00 ",USD," 303,400.00 ",5,1,3,2,3,2,2
54,Machine Learning Engineer," 216,700.00 ",USD," 216,700.00 ",5,1,3,2,3,2,2
55,Research Scientist," 179,000.00 ",USD," 179,000.00 ",5,1,3,1,1,1,2
56,Research Scientist," 112,000.00 ",USD," 112,000.00 ",5,1,3,1,1,1,2
57,Data Engineer," 247,300.00 ",USD," 247,300.00 ",5,1,3,1,1,1,2
58,Data Engineer," 139,700.00 ",USD," 139,700.00 ",5,1,3,1,1,1,2
59,Data Analyst," 93,000.00 ",USD," 93,000.00 ",5,3,3,1,1,1,2
60,Data Analyst," 65,750.00 ",USD," 65,750.00 ",5,3,3,1,1,1,2
61,Applied Scientist," 222,200.00 ",USD," 222,200.00 ",5,2,3,1,1,1,1
62,Applied Scientist," 136,000.00 ",USD," 136,000.00 ",5,2,3,1,1,1,1
63,Research Scientist," 234,000.00 ",USD," 234,000.00 ",5,1,3,1,1,1,2
64,Research Scientist," 146,000.00 ",USD," 146,000.00 ",5,1,3,1,1,1,2
65,Data Engineer," 130,000.00 ",USD," 130,000.00 ",5,2,3,1,1,1,2
66,Data Engineer," 90,800.00 ",USD," 90,800.00 ",5,2,3,1,1,1,2
67,Data Analyst," 93,000.00 ",USD," 93,000.00 ",5,3,3,1,1,1,2
68,Data Analyst," 65,750.00 ",USD," 65,750.00 ",5,3,3,1,1,1,2
69,Data Science," 15,000.00 ",EUR," 16,666.00 ",5,3,4,3,2,3,2
70,Data Engineer," 166,000.00 ",USD," 166,000.00 ",5,2,3,1,1,1,2
71,Data Engineer," 73,100.00 ",USD," 73,100.00 ",5,2,3,1,1,1,2
72,Data Scientist," 166,000.00 ",USD," 166,000.00 ",5,2,3,1,1,1,2
73,Data Scientist," 73,100.00 ",USD," 73,100.00 ",5,2,3,1,1,1,2
74,Research Scientist," 179,000.00 ",USD," 179,000.00 ",5,1,3,1,1,1,2
75,Research Scientist," 112,000.00 ",USD," 112,000.00 ",5,1,3,1,1,1,2
76,Machine Learning Engineer," 186,754.00 ",USD," 186,754.00 ",5,1,3,1,1,1,2
77,Machine Learning Engineer," 101,000.00 ",USD," 101,000.00 ",5,1,3,1,1,1,2
78,Data Scientist," 64,000.00 ",GBP," 80,000.00 ",5,1,3,1,1,1,2
79,Data Scientist," 54,000.00 ",GBP," 67,500.00 ",5,1,3,1,1,1,2
80,Machine Learning Engineer," 212,000.00 ",USD," 212,000.00 ",5,1,3,4,1,4,2
81,Machine Learning Engineer," 93,300.00 ",USD," 93,300.00 ",5,1,3,4,1,4,2
82,Data Engineer," 138,000.00 ",USD," 138,000.00 ",5,1,3,1,1,1,2
83,Data Engineer," 86,000.00 ",USD," 86,000.00 ",5,1,3,1,1,1,2
84,Data Engineer," 106,050.00 ",USD," 106,050.00 ",5,2,3,1,1,1,2
85,Data Engineer," 80,420.00 ",USD," 80,420.00 ",5,2,3,1,1,1,2
86,Research Scientist," 234,000.00 ",USD," 234,000.00 ",5,1,3,1,1,1,2
87,Research Scientist," 146,000.00 ",USD," 146,000.00 ",5,1,3,1,1,1,2
88,Data Analyst," 179,000.00 ",USD," 179,000.00 ",5,3,3,1,1,1,2
89,Data Analyst," 112,000.00 ",USD," 112,000.00 ",5,3,3,1,1,1,2
90,Data Modeler," 171,210.00 ",USD," 171,210.00 ",5,1,3,2,1,2,2
91,Data Modeler," 92,190.00 ",USD," 92,190.00 ",5,1,3,2,1,2,2
92,Data Scientist," 110,630.00 ",USD," 110,630.00 ",5,2,3,2,1,2,2
93,Data Scientist," 59,570.00 ",USD," 59,570.00 ",5,2,3,2,1,2,2
94,Research Engineer," 234,000.00 ",USD," 234,000.00 ",5,1,3,1,1,1,2
95,Research Engineer," 146,000.00 ",USD," 146,000.00 ",5,1,3,1,1,1,2
96,Data Architect," 186,000.00 ",USD," 186,000.00 ",5,1,3,1,1,1,2
97,Data Architect," 81,800.00 ",USD," 81,800.00 ",5,1,3,1,1,1,2
98,BI Developer," 95,000.00 ",USD," 95,000.00 ",5,1,3,5,3,5,2
99,BI Developer," 80,000.00 ",USD," 80,000.00 ",5,1,3,5,3,5,2
100,Data Engineer," 160,000.00 ",USD," 160,000.00 ",5,1,3,1,1,1,2
101,Data Engineer," 94,100.00 ",USD," 94,100.00 ",5,1,3,1,1,1,2
102,Data Engineer," 40,000.00 ",GBP," 50,000.00 ",5,3,3,6,1,6,2
