id_employee, salary ,salary_currency, salary_in_usd 
1," 357,900.00 ",USD," 357,900.00 "
2," 189,400.00 ",USD," 189,400.00 "
3," 212,000.00 ",USD," 212,000.00 "
4," 93,400.00 ",USD," 93,400.00 "
5," 128,656.00 ",USD," 128,656.00 "
6," 103,330.00 ",USD," 103,330.00 "
7," 250,900.00 ",USD," 250,900.00 "
8," 135,200.00 ",USD," 135,200.00 "
9," 414,000.00 ",USD," 414,000.00 "
10," 216,000.00 ",USD," 216,000.00 "
11," 69,000.00 ",USD," 69,000.00 "
12," 51,000.00 ",USD," 51,000.00 "
13," 109,000.00 ",USD," 109,000.00 "
14," 62,300.00 ",USD," 62,300.00 "
15," 134,160.00 ",USD," 134,160.00 "
16," 72,240.00 ",USD," 72,240.00 "
17," 90,500.00 ",USD," 90,500.00 "
18," 42,400.00 ",USD," 42,400.00 "
19," 381,500.00 ",USD," 381,500.00 "
20," 202,500.00 ",USD," 202,500.00 "
21," 257,000.00 ",USD," 257,000.00 "
22," 129,000.00 ",USD," 129,000.00 "
23," 120,000.00 ",USD," 120,000.00 "
24," 100,000.00 ",USD," 100,000.00 "
25," 209,990.00 ",USD," 209,990.00 "
26," 140,000.00 ",USD," 140,000.00 "
27," 80,000.00 ",USD," 80,000.00 "
28," 45,700.00 ",USD," 45,700.00 "
29," 138,000.00 ",USD," 138,000.00 "
30," 86,000.00 ",USD," 86,000.00 "
31," 152,000.00 ",USD," 152,000.00 "
32," 133,200.00 ",USD," 133,200.00 "
33," 135,000.00 ",USD," 135,000.00 "
34," 120,000.00 ",USD," 120,000.00 "
35," 175,000.00 ",USD," 175,000.00 "
36," 150,000.00 ",USD," 150,000.00 "
37," 100,000.00 ",USD," 100,000.00 "
38," 95,000.00 ",USD," 95,000.00 "
39," 134,200.00 ",USD," 134,200.00 "
40," 117,000.00 ",USD," 117,000.00 "
41," 179,000.00 ",USD," 179,000.00 "
42," 112,000.00 ",USD," 112,000.00 "
43," 234,000.00 ",USD," 234,000.00 "
44," 146,000.00 ",USD," 146,000.00 "
45," 75,065.00 ",USD," 75,065.00 "
46," 41,419.00 ",USD," 41,419.00 "
47," 107,800.00 ",USD," 107,800.00 "
48," 61,600.00 ",USD," 61,600.00 "
49," 324,000.00 ",USD," 324,000.00 "
50," 159,000.00 ",USD," 159,000.00 "
51," 80,000.00 ",USD," 80,000.00 "
52," 75,000.00 ",USD," 75,000.00 "
53," 303,400.00 ",USD," 303,400.00 "
54," 216,700.00 ",USD," 216,700.00 "
55," 179,000.00 ",USD," 179,000.00 "
56," 112,000.00 ",USD," 112,000.00 "
57," 247,300.00 ",USD," 247,300.00 "
58," 139,700.00 ",USD," 139,700.00 "
59," 93,000.00 ",USD," 93,000.00 "
60," 65,750.00 ",USD," 65,750.00 "
61," 222,200.00 ",USD," 222,200.00 "
62," 136,000.00 ",USD," 136,000.00 "
63," 234,000.00 ",USD," 234,000.00 "
64," 146,000.00 ",USD," 146,000.00 "
65," 130,000.00 ",USD," 130,000.00 "
66," 90,800.00 ",USD," 90,800.00 "
67," 93,000.00 ",USD," 93,000.00 "
68," 65,750.00 ",USD," 65,750.00 "
69," 15,000.00 ",EUR," 16,666.00 "
70," 166,000.00 ",USD," 166,000.00 "
71," 73,100.00 ",USD," 73,100.00 "
72," 166,000.00 ",USD," 166,000.00 "
73," 73,100.00 ",USD," 73,100.00 "
74," 179,000.00 ",USD," 179,000.00 "
75," 112,000.00 ",USD," 112,000.00 "
76," 186,754.00 ",USD," 186,754.00 "
77," 101,000.00 ",USD," 101,000.00 "
78," 64,000.00 ",GBP," 80,000.00 "
79," 54,000.00 ",GBP," 67,500.00 "
80," 212,000.00 ",USD," 212,000.00 "
81," 93,300.00 ",USD," 93,300.00 "
82," 138,000.00 ",USD," 138,000.00 "
83," 86,000.00 ",USD," 86,000.00 "
84," 106,050.00 ",USD," 106,050.00 "
85," 80,420.00 ",USD," 80,420.00 "
86," 234,000.00 ",USD," 234,000.00 "
87," 146,000.00 ",USD," 146,000.00 "
88," 179,000.00 ",USD," 179,000.00 "
89," 112,000.00 ",USD," 112,000.00 "
90," 171,210.00 ",USD," 171,210.00 "
91," 92,190.00 ",USD," 92,190.00 "
92," 110,630.00 ",USD," 110,630.00 "
93," 59,570.00 ",USD," 59,570.00 "
94," 234,000.00 ",USD," 234,000.00 "
95," 146,000.00 ",USD," 146,000.00 "
96," 186,000.00 ",USD," 186,000.00 "
