id_company,id_employment_type,id_company_location,id_company_size
1,1,2,1
2,1,19,2
3,1,15,2
4,1,20,1
5,1,1,1
6,1,1,2
7,1,1,3
8,2,10,2
9,2,88,2
10,2,43,3
11,2,5,3
12,2,67,2
13,2,85,3
14,2,15,2
15,2,22,3
16,2,1,1
17,2,1,2
18,2,1,3
19,3,46,3
20,3,77,1
21,3,77,3
22,3,32,3
23,3,53,1
24,3,53,2
25,3,68,1
26,3,68,3
27,3,61,1
28,3,61,2
29,3,61,3
30,3,10,1
31,3,10,2
32,3,10,3
33,3,66,3
34,3,44,1
35,3,44,2
36,3,44,3
37,3,38,1
38,3,38,2
39,3,2,1
40,3,2,2
41,3,2,3
42,3,58,2
43,3,45,1
44,3,45,3
45,3,71,1
46,3,69,1
47,3,25,1
48,3,25,2
49,3,19,1
50,3,3,1
51,3,3,2
52,3,3,3
53,3,73,1
54,3,73,3
55,3,47,1
56,3,36,1
57,3,36,2
58,3,36,3
59,3,4,2
60,3,13,1
61,3,13,2
62,3,13,3
63,3,59,2
64,3,59,3
65,3,18,1
66,3,18,2
67,3,18,3
68,3,6,1
69,3,6,2
70,3,6,3
71,3,43,2
72,3,43,3
73,3,87,1
74,3,29,1
75,3,29,2
76,3,29,3
77,3,57,1
78,3,79,3
79,3,33,2
80,3,33,3
81,3,12,1
82,3,12,2
83,3,76,1
84,3,8,1
85,3,8,2
86,3,8,3
87,3,60,1
88,3,60,2
89,3,60,3
90,3,5,1
91,3,5,2
92,3,5,3
93,3,81,3
94,3,26,1
95,3,26,2
96,3,26,3
97,3,56,1
98,3,56,3
99,3,41,3
100,3,35,3
101,3,23,2
102,3,85,1
103,3,85,3
104,3,30,2
105,3,50,3
106,3,86,1
107,3,31,3
108,3,49,1
109,3,49,2
110,3,49,3
111,3,78,1
112,3,15,1
113,3,15,2
114,3,15,3
115,3,20,1
116,3,20,2
117,3,20,3
118,3,52,3
119,3,11,2
120,3,11,3
121,3,16,1
122,3,16,2
123,3,16,3
124,3,21,2
125,3,17,1
126,3,17,2
127,3,17,3
128,3,72,2
129,3,7,1
130,3,7,2
131,3,7,3
132,3,39,2
133,3,28,1
134,3,28,2
135,3,40,1
136,3,40,2
137,3,51,2
138,3,51,3
139,3,63,1
140,3,63,2
141,3,63,3
142,3,62,1
143,3,62,2
144,3,27,1
145,3,27,2
146,3,34,1
147,3,34,2
148,3,37,1
149,3,37,2
150,3,37,3
151,3,22,2
152,3,1,1
153,3,1,2
154,3,1,3
155,3,14,2
156,3,9,1
157,3,9,2
158,4,3,1
159,4,3,2
160,4,3,3
161,4,73,1
162,4,73,3
163,4,80,2
164,4,18,2
165,4,5,1
166,4,26,3
167,4,20,1
168,4,1,1
169,4,1,2
170,4,1,3
